municipio,tipo,id_x,nombre_x,geometry_x,longitud_x,latitud_x,linea_x,intento1_x,indices,id_y,nombre_y,linea_y,geometry_y,longitud_y,latitud_y,intento1_y
Campanar,emt,2307.0,General Avil�s (illeta) - Pius XII,POINT (-0.395881990513572 39.48558985228374),-0.3958819905135718,39.48558985228374,,General Avil�s  - Pius XII,61,2307.0,General Avilés (illeta) - Pius XII (2307),94,POINT (-0.3958820309358738 39.48559001534807),-0.3958820309358738,39.48559001534807,General Avilés  - Pius XII 
Campanar,emt,348.0,Men�ndez Pidal - Estaci� d'autobusos (riu),POINT (-0.387566268944343 39.480012419854894),-0.387566268944343,39.480012419854894,,Men�ndez Pidal - Estaci� d'autobusos ,62,627.0,Fonteta Sant Lluís - Bèrnia (627),7,POINT (-0.3716216565564203 39.45396312664135),-0.37162165655642027,39.45396312664135,Fonteta Sant Lluís - Bèrnia 
Campanar,emt,359.0,Joaqu�m Ballester - Campanar,POINT (-0.391925494711242 39.48200173830809),-0.39192549471124233,39.48200173830809,,Joaqu�m Ballester - Campanar,64,530.0,Tres Forques - Mare de Déu de la Cabeça (530),"71,N5",POINT (-0.3998469363943848 39.46368117339872),-0.3998469363943848,39.46368117339872,Tres Forques - Mare de Déu de la Cabeça 
Campanar,emt,359.0,Joaqu�m Ballester - Campanar,POINT (-0.391925494711242 39.48200173830809),-0.39192549471124233,39.48200173830809,,Joaqu�m Ballester - Campanar,64,359.0,Joaquím Ballester - Campanar (359),98,POINT (-0.3919255341133743 39.48200192837728),-0.39192553411337433,39.48200192837728,Joaquím Ballester - Campanar 
Campanar,emt,372.0,Pius XII - Campanar,POINT (-0.393283870955687 39.48223347469082),-0.39328387095568706,39.48223347469082,,Pius XII - Campanar,66,372.0,Pius XII - Campanar (372),"62,63,64,92,99,N3",POINT (-0.3932838665887443 39.482233591707285),-0.39328386658874426,39.482233591707285,Pius XII - Campanar 
Campanar,emt,64.0,Vall de la Ballestera - Campanar,POINT (-0.393545485113117 39.48091270611318),-0.393545485113117,39.48091270611318,,Vall de la Ballestera - Campanar,67,64.0,Vall de la Ballestera - Campanar (64),"98,99",POINT (-0.393545512567508 39.48091290492269),-0.393545512567508,39.48091290492269,Vall de la Ballestera - Campanar 
Jaume Roig,emt,1694.0,Primat Reig - Dr. G�mez Ferrer,POINT (-0.360317075555786 39.48181205051496),-0.36031707555578646,39.48181205051496,,Primat Reig - Dr. G�mez Ferrer,68,1694.0,Primat Reig - Dr. Gómez Ferrer (1694),"90,98",POINT (-0.3603170919812813 39.48181223106321),-0.3603170919812813,39.48181223106321,Primat Reig - Dr. Gómez Ferrer 
Jaume Roig,emt,186.0,Primat Reig - Jaume Roig,POINT (-0.363380335320216 39.48407378921563),-0.3633803353202159,39.48407378921563,,Primat Reig - Jaume Roig,69,186.0,Primat Reig - Jaume Roig (186),"90,98",POINT (-0.3633803278420699 39.48407398723863),-0.3633803278420699,39.48407398723863,Primat Reig - Jaume Roig 
El Carme,emt,1959.0,Blanqueria - Pare d' �rfens,POINT (-0.377758991438298 39.48037493312812),-0.37775899143829844,39.48037493312812,,Blanqueria - Pare d' �rfens,70,1410.0,Borbotó (1410),26,POINT (-0.3886678195476463 39.51418151401951),-0.3886678195476463,39.51418151401951,Borbotó 
El Carme,emt,1959.0,Blanqueria - Pare d' �rfens,POINT (-0.377758991438298 39.48037493312812),-0.37775899143829844,39.48037493312812,,Blanqueria - Pare d' �rfens,70,1959.0,Blanqueria - Pare d' Òrfens (1959),"28,95,C1",POINT (-0.3777590314775099 39.48037510519851),-0.3777590314775099,39.48037510519851,Blanqueria - Pare d' Òrfens 
El Carme,emt,796.0,Guillem de Castro - Na Jordana,POINT (-0.382931307860638 39.48002289886695),-0.382931307860638,39.48002289886695,,Guillem de Castro - Na Jordana,71,1442.0,Dr. Tomàs Sala (imparell) - Sant Vicent Màrtir (1442),"18,9,99,N6",POINT (-0.3872770335861917 39.44692260835913),-0.3872770335861917,39.44692260835913,Dr. Tomàs Sala  - Sant Vicent Màrtir 
Ciutat Universitaria,emt,1241.0,Blasco Ib��ez - Dr. Moliner,POINT (-0.361921106855253 39.478211909227944),-0.36192110685525275,39.478211909227944,,Blasco Ib��ez - Dr. Moliner,72,1537.0,Parc Gulliver  (1537),"19,94",POINT (-0.3587930091670318 39.46318627266343),-0.35879300916703183,39.46318627266343,Parc Gulliver  
Ciutat Universitaria,emt,155.0,Blasco Ib��ez - Almela i Vives,POINT (-0.35607284780181 39.47689181946896),-0.35607284780180964,39.47689181946896,,Blasco Ib��ez - Almela i Vives,74,331.0,Bombas Gens (331),"28,94,N10",POINT (-0.3856298968111018 39.48548516355135),-0.38562989681110177,39.48548516355135,Bombas Gens 
