Geo Point;Geo Shape;codbarrio;nombre;coddistbar;coddistrit;codbar;transporte;stop_id;stop_name;stop_desc;X;Y;zone_id
39.4703329351722, -0.35039450514670223;"{""coordinates"": [-0.350394505146702, 39.4703329351722], ""type"": ""Point""}";3;L'AMISTAT;133;13;133;metrovlc;23;Amistat-Casa de Salud;NULL;727923.04;4372323.44;A
39.47048356363175, -0.34945833314601715;"{""coordinates"": [-0.349458333146017, 39.47048356363175], ""type"": ""Point""}";3;L'AMISTAT;133;13;133;emt;1117;Dr. Manuel Candela (impar) - Sants Just i Pastor;C DOCTOR MANUEL CANDELA 53 - VAL�NCIA;728003.09;4372342.53;
39.47404484882669, -0.34858311711350276;"{""coordinates"": [-0.348583117113503, 39.47404484882669], ""type"": ""Point""}";3;L'AMISTAT;133;13;133;emt;116;Blasco Ib��ez - Dr. Manuel Candela;AV BLASCO IBA�EZ 104 (JARD�) - VAL�NCIA;728066.75;4372740.06;
39.472140752604254, -0.35386716181302735;"{""coordinates"": [-0.353867161813027, 39.472140752604254], ""type"": ""Point""}";3;L'AMISTAT;133;13;133;emt;1678;Cardenal Benlloch - Santos Justo y Pastor;AV CARDENAL BENLLOCH 76 - VAL�NCIA;727618.38;4372515.33;
39.451014763936406, -0.34543454617280966;"{""coordinates"": [-0.34543454617281, 39.451014763936406], ""type"": ""Point""}";6;LA PUNTA;106;10;106;emt;1007;Jes�s Morante Borr�s (I);AV JESUS MORANTE BORRAS 26 - VAL�NCIA;728412.95;4370191.63;
39.44948254551931, -0.34446812548000894;"{""coordinates"": [-0.344468125480009, 39.44948254551931], ""type"": ""Point""}";6;LA PUNTA;106;10;106;emt;1008;Jes�s Morante Borr�s (II);AV JESUS MORANTE BORRAS 54 - VAL�NCIA;728501.13;4370024.0;
39.44414737315194, -0.3439874701145612;"{""coordinates"": [-0.343987470114561, 39.44414737315194], ""type"": ""Point""}";6;LA PUNTA;106;10;106;emt;1010;Jes�s Morante Borr�s (IV);AV JESUS MORANTE BORRAS 158 - VAL�NCIA;728559.95;4369433.0;
39.44134365522657, -0.34395182648954137;"{""coordinates"": [-0.343951826489541, 39.44134365522657], ""type"": ""Point""}";6;LA PUNTA;106;10;106;emt;1011;Jes�s Morante Borr�s (V);AV JESUS MORANTE BORRAS 212 - VAL�NCIA;728572.1900000001;4369121.87;
39.44134721337514, -0.34367389166694856;"{""coordinates"": [-0.343673891666949, 39.44134721337514], ""type"": ""Point""}";6;LA PUNTA;106;10;106;emt;1012;Jes�s Morante Borr�s (VI);AV JESUS MORANTE BORRAS 201 - VAL�NCIA;728596.1;4369122.97;
39.444179012050185, -0.34366895191267355;"{""coordinates"": [-0.343668951912674, 39.444179012050185], ""type"": ""Point""}";6;LA PUNTA;106;10;106;emt;1013;Jes�s Morante Borr�s (VII);AV JESUS MORANTE BORRAS 151 - VAL�NCIA;728587.26;4369437.32;
