Id. Parada;Cod. Via / Cod. Vía;Num. Portal;Suprimida;Denominació / Denominación;Línies / Líneas;Pròximes Arribades / Proximas Llegadas;geo_shape;geo_point_2d
1900.0;42340.0;8 (DAVANT);0;Col·legi Major (1900);93,98;http://www.emtvalencia.es/QR.php?sec=est&p=1900;"{""coordinates"": [-0.3399071164948644, 39.478523473845776], ""type"": ""Point""}";39.478523473845776, -0.3399071164948644
1898.0;42340.0;S/N (JUNT APARCAMENT);0;Tarongers - Aparcament (1898);93,98;http://www.emtvalencia.es/QR.php?sec=est&p=1898;"{""coordinates"": [-0.33593201968621483, 39.47692974279595], ""type"": ""Point""}";39.47692974279595, -0.33593201968621483
1929.0;32790.0;131 (DAVANT);0;Gaspar Aguilar (parell) - Dr. Tomas Sala (1929);9,N6;http://www.emtvalencia.es/QR.php?sec=est&p=1929;"{""coordinates"": [-0.39452080221481267, 39.450423704699865], ""type"": ""Point""}";39.450423704699865, -0.39452080221481267
1932.0;32790.0;49;0;Gaspar Aguilar - Costa i Borràs (1932);9;http://www.emtvalencia.es/QR.php?sec=est&p=1932;"{""coordinates"": [-0.3906088453093768, 39.45587125376543], ""type"": ""Point""}";39.45587125376543, -0.3906088453093768
1714.0;;S/N;0;Fires(imparell) - Cementeri (1714);62;http://www.emtvalencia.es/QR.php?sec=est&p=1714;"{""coordinates"": [-0.4246377985327163, 39.505618290419605], ""type"": ""Point""}";39.505618290419605, -0.4246377985327163
1721.0;;120;0;Corts Valencianes - Dr. Barraquer (1721);16,N2;http://www.emtvalencia.es/QR.php?sec=est&p=1721;"{""coordinates"": [-0.36517785944585274, 39.508722204627325], ""type"": ""Point""}";39.508722204627325, -0.36517785944585274
1706.0;;S/N;0;Pinedo (1706);14,15;http://www.emtvalencia.es/QR.php?sec=est&p=1706;"{""coordinates"": [-0.33597405885335174, 39.41949515652359], ""type"": ""Point""}";39.41949515652359, -0.33597405885335174
1671.0;2910.0;193;0;Reina - Espadan (1671);19,92,N1;http://www.emtvalencia.es/QR.php?sec=est&p=1671;"{""coordinates"": [-0.3282726384265573, 39.471601819931124], ""type"": ""Point""}";39.471601819931124, -0.3282726384265573
1746.0;47790.0;17;0;Menorca -  Centre Comercial (1746);94,99;http://www.emtvalencia.es/QR.php?sec=est&p=1746;"{""coordinates"": [-0.3450229987909387, 39.457584893663594], ""type"": ""Point""}";39.457584893663594, -0.3450229987909387
139.0;70620.0;22;0;Sants Just i Pastor - Lluís de Milà (139);32;http://www.emtvalencia.es/QR.php?sec=est&p=139;"{""coordinates"": [-0.3528486962192548, 39.470892545462505], ""type"": ""Point""}";39.470892545462505, -0.3528486962192548
170.0;24240.0;5 (DAVANT);0;Dr. Gómez Ferrer - Menéndez y Pelayo (170);89,N2;http://www.emtvalencia.es/QR.php?sec=est&p=170;"{""coordinates"": [-0.36083709213825343, 39.47996827344468], ""type"": ""Point""}";39.47996827344468, -0.36083709213825343
1616.0;25680.0;48;0;Port - Eduard Boscà (1616);4,92,N8;http://www.emtvalencia.es/QR.php?sec=est&p=1616;"{""coordinates"": [-0.3559793427821633, 39.466762126378505], ""type"": ""Point""}";39.466762126378505, -0.3559793427821633
1623.0;25680.0;308;0;Port - Pare Porta (1623);19,30,4,92,N8,N9;http://www.emtvalencia.es/QR.php?sec=est&p=1623;"{""coordinates"": [-0.33581060190087636, 39.460773401715926], ""type"": ""Point""}";39.460773401715926, -0.33581060190087636
