gid;Códi / Código;Nom / Nombre;Tipus / Tipo;Línia / Línea;Pròximes Arribades / Próximas Llegadas;proximes_llegadas;geo_shape;geo_point_2d
237172;38;Montortal;1;1;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=38&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=38&lang=va;"{""coordinates"": [-0.5158861281369649, 39.17379764708401], ""type"": ""Point""}";39.17379764708401, -0.5158861281369649
237148;75;Rocafort;1;1;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=75&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=75&lang=va;"{""coordinates"": [-0.4075777828732151, 39.52870945118481], ""type"": ""Point""}";39.52870945118481, -0.4075777828732151
237146;77;Moncada - Alfara;1;1;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=77&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=77&lang=va;"{""coordinates"": [-0.3884611127603637, 39.54352955038101], ""type"": ""Point""}";39.54352955038101, -0.3884611127603637
237158;79;Masies;1;1;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=79&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=79&lang=va;"{""coordinates"": [-0.4053777748647457, 39.566581765432026], ""type"": ""Point""}";39.566581765432026, -0.4053777748647457
237240;191;Russafa;1;10;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=191&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=191&lang=va;"{""coordinates"": [-0.36953100016440554, 39.46391303921369], ""type"": ""Point""}";39.46391303921369, -0.36953100016440554
237124;129;Orriols;1;1,6;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=129&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=129&lang=va;"{""coordinates"": [-0.367663622109971, 39.49314884351592], ""type"": ""Point""}";39.49314884351592, -0.367663622109971
237100;92;Pont de Fusta;1;4;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=92&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=92&lang=va;"{""coordinates"": [-0.37318056860230847, 39.481781045417804], ""type"": ""Point""}";39.481781045417804, -0.37318056860230847
237113;104;Vicent Andrés Estellés;1;4;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=104&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=104&lang=va;"{""coordinates"": [-0.41988399650213665, 39.50856022050974], ""type"": ""Point""}";39.50856022050974, -0.41988399650213665
237114;105;À Punt;1;4;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=105&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=105&lang=va;"{""coordinates"": [-0.4247489864954702, 39.51220325625923], ""type"": ""Point""}";39.51220325625923, -0.4247489864954702
237117;111;La Coma;1;4;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=111&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=111&lang=va;"{""coordinates"": [-0.43170699427707426, 39.521572152247394], ""type"": ""Point""}";39.521572152247394, -0.43170699427707426
237125;130;Estadi Ciutat de València;1;1,6;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=130&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=130&lang=va;"{""coordinates"": [-0.36554199490941947, 39.494918863018285], ""type"": ""Point""}";39.494918863018285, -0.36554199490941947
